ceremony,director,film,bool_win
34,Robert Rossen,The Hustler,0
34,Stanley Kramer,Judgement at Nuremberg,0
35,David Lean,Lawrence of Arabie,1
35,Frank Perry,David and Lisa,0
35,Pietro Germi,Divorce Italian Style,0
35,Arthur Penn,The Miracle Worker,0
35,Robert Mulligan,To Kill a Mockingbird,0
36,Tony Richardson,Tom Jones,1
36,Federico Fellini,8 1/2,0
36,Elia Kazan,America America,0
36,Otto Preminger,The Cardinal,0
36,Martin Ritt,Hud,0
37,George Cukor,My Fair Lady,1
37,Peter Glenville,Becket,0
37,Stanley Kubrick,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",0
37,Robert Stevenson,Mary Poppins,0
37,Michael Cacoyannis,Zorba the Greek,0
38,Robert Wise,The Sound of Music,1
38,William Wyler,The Collector,0
38,John Schlesinger,Darling,0
38,David Lean,Doctor Zhivago,0
38,Hiroshi Teshigahara,Woman in the Dunes,0
39,Fred Zinnemann,A Man for All Seasons,1
39,Michelangelo Antonioni,Blowup,0
39,Claude Lelouch,A Man and a Woman,0
39,Richard Brooks,The Professionals,0
39,Mike Nichols,Who's Afraid of Viriginia Woolf?,0
40,Mike Nichols,The Graduate,1
40,Arthur Penn,Bonnie and Clyde,0
40,Stanley Kramer,Guess Who's Coming to Dinner,0
40,Richard Brooks,In Cold Blood,0
40,Norman Jewison,In the Heat of the Night,0
41,Carol Reed,Oliver!,1
41,Stanley Kubrick,2001: A Space Odyssey,0
41,Gillo Pontecorvo,The Battle of Algiers,0
41,Anthony Harvey,The Lion in Winter,0
41,Franco Zeffirelli,Romeo and Juliet,0
42,John Schlesinger,Midnight Cowboy,1
42,Arthur Penn,Alice's Restaurant,0
42,George Roy Hill,Butch Cassidy and the Sundance Kid,0
42,Sydney Pollack,"They Shoot Horses, Don't They?",0
42,Costa-Gavras,Z,0
43,Frank J. Schaffner,Patton,1
43,Federico Fellini,Fellini Satyricon,0
43,Arthur Hiller,Love Story,0
43,Robert Altman,M*A*S*H,0
43,Ken Russell,Women in Love,0
44,William Friedkin,The French Connection,1
44,Stanley Kubrick,A Clockwork Orange,0
44,Norman Jewison,Fiddler on the Roof,0
44,Peter Bogdanovich,The Last Picture Show,0
44,John Schlesinger,Sunday Bloody Sunday,0
45,Bob Fosse,Cabaret,1
45,John Boorman,Deliverance,0
45,Jan Troell,The Emigrants,0
45,Francis Ford Coppola,The Godfather,0
45,Joseph L. Mankiewicz,Sleuth,0
46,George Roy Hill,The Sting,1
46,George Lucas,American Graffiti,0
46,Ingmar Bergman,Cries and Whispers,0
46,Williamn Friedkin,The Exorcist,0
46,Bernardo Bertolucci,Last Tango in Paris,0
47,Francis Ford Coppola,The Godfather Part II,1
47,Roman Polanski,Chinatown,0
47,Francios Truffaut,Day for Night,0
47,Bob Fosse,Lenny,0
47,John Cassavetes,A Woman Under the Influence,0
48,Milos Forman,One Flew Over the Cuckoo's Nest,1
48,Federico Fellini,Amarcord,0
48,Stanley Kubrick,Barry Lyndon,0
48,Sidney Lumet,Dog Day Afternoon,0
48,Robert Altman,Nashville,0
49,John G. Avildsen,Rocky,1
49,Alan J. Pakula,All the President's Men,0
49,Ingmar Bergman,Face to Face,0
49,Sidney Lumet,Network,0
49,Lina Wertmuller,Seven Beauties,0
50,Woody Allen,Annie Hall,1
50,Steven Spielberg,Close Encounters of the Third Kind,0
50,Fred Zinnemann,Julia,0
50,George Lucas,Star Wars,0
50,Herbert Ross,The Turning Point,0
51,Michael Cimino,The Deer Hunter,1
51,Hal Ashby,Coming Home,0
51,Warren Beatty & Buck Henry,Heaven Can Wait,0
51,Woody Allen,Interiors,0
51,Alan Parker,Midnight Express,0
52,Robert Benton,Kramer vs. Kramer,1
52,Bob Fosse,All That Jazz,0
52,Francis Ford Coppola,Apocalypse Now,0
52,Peter Yates,Breaking Away,0
52,Edouard Molinaro,La Cage aux Folles,0
53,Robert Redford,Ordinary People,1
53,David Lynch,The Elephant Man,0
53,Martin Scorsese,Raging Bull,0
53,Richard Bush,The Stunt Man,0
53,Roman Polanski,Tess,0
54,Warren Beatty,Reds,1
54,Louis Malle,Atlantic City,0
54,Hugh Hudson,Chariots of Fire,0
54,Mark Rydell,On Golden Pond,0
54,Steven Spielberg,Raiders of the Lost Ark,0
55,Richard Attenbourough,Ghandi,1
55,Wolfgang Petersen,Das Boot,0
55,Steven Spielberg,E.T. the Extra-Terrestrial,0
55,Sydney Pollack,Tootsie,0
55,Sidney Lumet,The Verdict,0
56,James L. Brooks,Terms of Endearment,1
56,Peter Yates,The Dresser,0
56,Ingmar Bergman,Fanny and Alexander,0
56,Mike Nichols,Silkwood,0
56,Bruce Beresford,Tender Mercies,0
57,Milos Forman,Amadeus,1
57,Woody Allen,Broadway Danny Rose,0
57,Roland Joffe,The Killing Fields,0
57,David Lean,A Passage to India,0
57,Robert Benton,Place in the Heart,0
58,Sydney Pllack,Out of Africa,1
58,Hector Babenco,Kiss of the Spider Woman,0
58,John Huston,Prizzi's Honor,0
58,Akira Kurosawa,Ran,0
58,Peter Weir,Witness,0
59,Oliver Stone,Platoon,1
59,David Lynch,Blue Velvet,0
59,Woody Allen,Hannah and Her Sisters,0
59,Roland Joffe,The Mission,0
59,James Ivory,A Room with a View,0
60,Bernardo Bertolucci,The Last Emperor,1
60,Adrian Lyne,Fatal Attraction,0
60,John Boorman,Hope and Glory,0
60,Norman Jewison,Moonstruck,0
60,Lasse Hallstrom,My Life as a Dog,0
61,Barry Levinson,Rain Man,1
61,Charles Chrichton,A Fish Called Wanda,0
61,Martin Scorsese,The Last Temptation,0
61,Alan Parker,Mississippi Burning,0
61,Mike Nichols,Working Girl,0
62,Oliver Stone,Born on the Fourth of July,1
62,Woody Allen,Crimes and Misdemeanors,0
62,Peter Weir,Dead Poets Society,0
62,Kenneth Branagh,Henry V,0
62,Jim Sheridan,My Left Foot,0
63,Kevin Costner,Dances with Wolves,1
63,Francis Ford Coppola,The Godfather Part III,0
63,Martin Scorsese,Goodfellas,0
63,Stephen Frears,The Grifters,0
63,Barbet Schroeder,Reversal of Fortune,0
64,Jonathan Demme,The Silence of the Lambs,1
64,John Singleton,Boyz n the Hood,0
64,Barry Levinson,Bugsy,0
64,Oliver Stone,JFK,0
64,Ridley Scott,Thelma & Louise,0
65,Clint Eastwood,Unforgiven,1
65,Neil Jordan,The Crying Game,0
65,James Ivory,Howard's End,0
65,Robert Altman,The Player,0
65,Martin Brest,Scent of a Woman,0
66,Steven Spielberg,Schindler's List,1
66,Jim Sheridan,In the Name of the Father,0
66,Jane Campion,The Piano,0
66,James Ivory,The Remains of the Day,0
66,Robert Altman,Short Cuts,0
67,Robert Zemeckis,Forrest Gump,1
67,Woody Allen,Bullets Over Broadway,0
67,Quentin Tarantino,Pulp Fiction,0
67,Robert Redford,Quiz Show,0
67,Krzysztof Kieslowski,Three Colors: Red,0
68,Mel Gibson,Braveheart,1
68,Chris Noonan,Babe,0
68,Tim Robbins,Dead Man Walking,0
68,Mike Figgis,Leaving Las Vegas,0
68,Michael Radford,Il Postino: The Postman,0
69,Anthony Minghella,The English Patient,1
69,Joel Coen,Fargo,0
69,Milos Forman,The People vs. Larry Flynt,0
69,Mike Leigh,Secrets & Lies,0
69,Scott Hicks,Shine,0
70,James Cameron,Titanic,1
70,Peter Cattaneo,The Full Monty,0
70,Gus Van Sant,Good Will Hunting,0
70,Curtis Hanson,L.A. Confidential,0
70,Atom Egoyan,The Sweet Hereafter,0
71,Steven Spielberg,Saving Private Ryan,1
71,Robert Benigni,Life is Beautiful,0
71,John Madden,Shakespeare in Love,0
71,Terrence Malick,The Thin Red Line,0
71,Peter Weir,The Truman Show,0
72,Sam Mendes,American Beauty,1
72,Lasse Hallstrom,The Cider House Rules,0
72,Spike Jonze,Being John Malkovich,0
72,Michael Mann,The Insider,0
72,M. Night Shyamalan,The Sixth Sense,0
73,Steven Soderbergh,Traffic,1
73,Stephen Daldry,Billy Elliot,0
73,Ang Lee,"Crouching Tiger, Hidden Dragon",0
73,Steven Soderbergh,Erin Brokovich,0
73,Ridley Scott,Gladiator,0
74,Ron Howard,A Beautiful Mind,1
